date,chlor_a,status,source_file
2019-11-01,,filled,ST.nc
2019-11-02,,filled,ST.nc
2019-11-03,1.981541991,filled,ST.nc
2019-11-04,2.08752799,filled,ST.nc
2019-11-05,3.762022018,filled,ST.nc
2019-11-06,3.66516304,filled,ST.nc
2019-11-07,3.563815832,filled,ST.nc
2019-11-08,3.205871582,filled,ST.nc
2019-11-09,3.612075329,filled,ST.nc
2019-11-10,,filled,ST.nc
2019-11-11,2.323535681,filled,ST.nc
2019-11-12,3.72094655,filled,ST.nc
2019-11-13,3.151309252,filled,ST.nc
2019-11-14,,filled,ST.nc
2019-11-15,5.381594181,filled,ST.nc
2019-11-16,4.762238026,filled,ST.nc
2019-11-17,3.575609922,filled,ST.nc
2019-11-18,,filled,ST.nc
2019-11-19,,filled,ST.nc
2019-11-20,2.436810017,filled,ST.nc
2019-11-21,3.572178364,filled,ST.nc
2019-11-22,3.181756735,filled,ST.nc
2019-11-23,3.326890945,filled,ST.nc
2019-11-24,2.792363167,filled,ST.nc
2019-11-25,3.192499876,filled,ST.nc
2019-11-26,3.003470659,filled,ST.nc
2019-11-27,3.136701584,filled,ST.nc
2019-11-28,2.322927237,filled,ST.nc
2019-11-29,2.138067961,filled,ST.nc
2019-11-30,3.476642847,filled,ST.nc
2019-12-01,1.735774994,filled,ST.nc
2019-12-02,4.395873547,filled,ST.nc
2019-12-03,3.2237854,filled,ST.nc
2019-12-04,2.405468702,filled,ST.nc
2019-12-05,2.705044508,filled,ST.nc
2019-12-06,,filled,ST.nc
2019-12-07,4.992102146,filled,ST.nc
2019-12-08,2.634022951,filled,ST.nc
2019-12-09,5.440526485,filled,ST.nc
2019-12-10,4.619675159,filled,ST.nc
2019-12-11,,filled,ST.nc
2019-12-12,4.333604813,filled,ST.nc
2019-12-13,3.4823668,filled,ST.nc
2019-12-14,5.632947922,filled,ST.nc
2019-12-15,,filled,ST.nc
2019-12-16,4.83254385,filled,ST.nc
2019-12-17,4.035177708,filled,ST.nc
2019-12-18,3.669086218,filled,ST.nc
