date,chlor_a,status,source_file
11/04/2019,1.653860688,filled,ST.nc
12/04/2019,,filled,ST.nc
13/04/2019,2.284795284,filled,ST.nc
14/04/2019,1.723346353,filled,ST.nc
15/04/2019,,filled,ST.nc
16/04/2019,3.101708174,filled,ST.nc
17/04/2019,4.438363075,filled,ST.nc
18/04/2019,3.937402487,filled,ST.nc
19/04/2019,2.780961275,filled,ST.nc
20/04/2019,,filled,ST.nc
21/04/2019,2.852784395,filled,ST.nc
22/04/2019,1.867075801,filled,ST.nc
23/04/2019,2.519396782,filled,ST.nc
24/04/2019,2.615025282,filled,ST.nc
25/04/2019,,filled,ST.nc
26/04/2019,2.727758408,filled,ST.nc
27/04/2019,3.892631292,filled,ST.nc
28/04/2019,7.390803337,filled,ST.nc
29/04/2019,,filled,ST.nc
30/04/2019,,filled,ST.nc
1/05/2019,1.879828095,filled,ST.nc
2/05/2019,1.905931473,filled,ST.nc
3/05/2019,1.765708208,filled,ST.nc
4/05/2019,,filled,ST.nc
5/05/2019,4.491801739,filled,ST.nc
6/05/2019,4.231920719,filled,ST.nc
7/05/2019,2.79586792,filled,ST.nc
8/05/2019,,filled,ST.nc
9/05/2019,,filled,ST.nc
10/05/2019,1.867752552,filled,ST.nc
11/05/2019,2.80443573,filled,ST.nc
12/05/2019,3.24189353,filled,ST.nc
13/05/2019,3.194827557,filled,ST.nc
14/05/2019,3.15747571,filled,ST.nc
15/05/2019,,filled,ST.nc
16/05/2019,,filled,ST.nc
17/05/2019,2.317759275,filled,ST.nc
18/05/2019,2.424687624,filled,ST.nc
19/05/2019,2.569061041,filled,ST.nc
20/05/2019,,filled,ST.nc
21/05/2019,,filled,ST.nc
22/05/2019,2.903876066,filled,ST.nc
23/05/2019,,filled,ST.nc
24/05/2019,,filled,ST.nc
25/05/2019,2.376507759,filled,ST.nc
26/05/2019,1.436018944,filled,ST.nc
27/05/2019,1.288529873,filled,ST.nc
28/05/2019,,filled,ST.nc
29/05/2019,1.439428926,filled,ST.nc
30/05/2019,4.709635735,filled,ST.nc
31/05/2019,7.682318687,filled,ST.nc
1/06/2019,,filled,ST.nc
2/06/2019,1.498206258,filled,ST.nc
3/06/2019,1.846413255,filled,ST.nc
4/06/2019,1.829507351,filled,ST.nc
5/06/2019,,filled,ST.nc
6/06/2019,,filled,ST.nc
7/06/2019,1.627509832,filled,ST.nc
8/06/2019,,filled,ST.nc
9/06/2019,,filled,ST.nc
10/06/2019,,filled,ST.nc
11/06/2019,2.097780228,filled,ST.nc
12/06/2019,,filled,ST.nc
13/06/2019,,filled,ST.nc
14/06/2019,1.370403767,filled,ST.nc
15/06/2019,,filled,ST.nc
16/06/2019,,filled,ST.nc
17/06/2019,,filled,ST.nc
18/06/2019,7.160752773,filled,ST.nc
19/06/2019,4.175807953,filled,ST.nc
20/06/2019,,filled,ST.nc
21/06/2019,4.232804775,filled,ST.nc
22/06/2019,,filled,ST.nc
23/06/2019,0.476257503,filled,ST.nc
24/06/2019,,filled,ST.nc
25/06/2019,,filled,ST.nc
26/06/2019,1.399111271,filled,ST.nc
27/06/2019,,filled,ST.nc
28/06/2019,,filled,ST.nc
29/06/2019,,filled,ST.nc
30/06/2019,,filled,ST.nc
1/07/2019,1.866273642,filled,ST.nc
2/07/2019,,filled,ST.nc
3/07/2019,2.549663782,filled,ST.nc
4/07/2019,,filled,ST.nc
5/07/2019,,filled,ST.nc
6/07/2019,,filled,ST.nc
7/07/2019,3.019231319,filled,ST.nc
8/07/2019,2.414782763,filled,ST.nc
9/07/2019,2.840288639,filled,ST.nc
10/07/2019,,filled,ST.nc
11/07/2019,,filled,ST.nc
12/07/2019,2.39887023,filled,ST.nc
13/07/2019,,filled,ST.nc
14/07/2019,1.414875388,filled,ST.nc
15/07/2019,,filled,ST.nc
16/07/2019,6.487422943,filled,ST.nc
17/07/2019,,filled,ST.nc
18/07/2019,,filled,ST.nc
19/07/2019,5.89846468,filled,ST.nc
20/07/2019,,filled,ST.nc
21/07/2019,,filled,ST.nc
22/07/2019,,filled,ST.nc
23/07/2019,1.896268487,filled,ST.nc
24/07/2019,3.627408028,filled,ST.nc
25/07/2019,,filled,ST.nc
26/07/2019,,filled,ST.nc
27/07/2019,8.166387558,filled,ST.nc
28/07/2019,3.290244102,filled,ST.nc
29/07/2019,,filled,ST.nc
30/07/2019,2.165762663,filled,ST.nc
31/07/2019,1.249024987,filled,ST.nc
1/08/2019,,filled,ST.nc
2/08/2019,,filled,ST.nc
3/08/2019,5.885383129,filled,ST.nc
4/08/2019,,filled,ST.nc
5/08/2019,,filled,ST.nc
6/08/2019,,filled,ST.nc
7/08/2019,9.159070969,filled,ST.nc
8/08/2019,,filled,ST.nc
9/08/2019,4.277139664,filled,ST.nc
10/08/2019,1.730371118,filled,ST.nc
11/08/2019,1.565110683,filled,ST.nc
12/08/2019,16.62304688,filled,ST.nc
13/08/2019,,filled,ST.nc
14/08/2019,2.712388992,filled,ST.nc
15/08/2019,3.396995783,filled,ST.nc
16/08/2019,,filled,ST.nc
17/08/2019,5.727627754,filled,ST.nc
18/08/2019,1.780220389,filled,ST.nc
19/08/2019,1.90531683,filled,ST.nc
20/08/2019,1.337279797,filled,ST.nc
21/08/2019,3.248597145,filled,ST.nc
22/08/2019,3.71547699,filled,ST.nc
23/08/2019,,filled,ST.nc
24/08/2019,1.243505359,filled,ST.nc
25/08/2019,,filled,ST.nc
26/08/2019,0.961434841,filled,ST.nc
27/08/2019,1.044998288,filled,ST.nc
28/08/2019,1.109611392,filled,ST.nc
29/08/2019,,filled,ST.nc
30/08/2019,,filled,ST.nc
31/08/2019,2.765720367,filled,ST.nc
1/09/2019,,filled,ST.nc
2/09/2019,2.435236931,filled,ST.nc
3/09/2019,6.055299282,filled,ST.nc
4/09/2019,,filled,ST.nc
5/09/2019,1.274293661,filled,ST.nc
6/09/2019,1.041425347,filled,ST.nc
7/09/2019,1.216543436,filled,ST.nc
8/09/2019,1.168448567,filled,ST.nc
9/09/2019,1.487403512,filled,ST.nc
10/09/2019,1.427634478,filled,ST.nc
11/09/2019,1.826142788,filled,ST.nc
12/09/2019,1.277422071,filled,ST.nc
13/09/2019,1.365145326,filled,ST.nc
14/09/2019,,filled,ST.nc
15/09/2019,1.540623784,filled,ST.nc
16/09/2019,1.543814301,filled,ST.nc
17/09/2019,1.097726226,filled,ST.nc
18/09/2019,,filled,ST.nc
19/09/2019,1.677379251,filled,ST.nc
20/09/2019,1.328920722,filled,ST.nc
21/09/2019,,filled,ST.nc
22/09/2019,1.250804067,filled,ST.nc
23/09/2019,2.273053885,filled,ST.nc
24/09/2019,1.49750948,filled,ST.nc
25/09/2019,2.016564608,filled,ST.nc
26/09/2019,,filled,ST.nc
27/09/2019,1.85384798,filled,ST.nc
28/09/2019,1.873843908,filled,ST.nc
29/09/2019,1.38594234,filled,ST.nc
30/09/2019,1.386135578,filled,ST.nc
1/10/2019,,filled,ST.nc
2/10/2019,,filled,ST.nc
3/10/2019,,filled,ST.nc
4/10/2019,,filled,ST.nc
5/10/2019,3.811416149,filled,ST.nc
6/10/2019,,filled,ST.nc
7/10/2019,1.967085123,filled,ST.nc
8/10/2019,,filled,ST.nc
9/10/2019,1.608109117,filled,ST.nc
10/10/2019,1.760249496,filled,ST.nc
11/10/2019,,filled,ST.nc
12/10/2019,4.981681824,filled,ST.nc
13/10/2019,1.674939871,filled,ST.nc
14/10/2019,,filled,ST.nc
15/10/2019,1.741521955,filled,ST.nc
16/10/2019,1.7779603,filled,ST.nc
17/10/2019,,filled,ST.nc
18/10/2019,,filled,ST.nc
19/10/2019,1.884738326,filled,ST.nc
20/10/2019,2.333466053,filled,ST.nc
21/10/2019,,filled,ST.nc
22/10/2019,,filled,ST.nc
23/10/2019,1.737148046,filled,ST.nc
24/10/2019,1.866187453,filled,ST.nc
25/10/2019,,filled,ST.nc
26/10/2019,,filled,ST.nc
27/10/2019,2.342213392,filled,ST.nc
28/10/2019,,filled,ST.nc
29/10/2019,,filled,ST.nc
30/10/2019,,filled,ST.nc
31/10/2019,3.907414436,filled,ST.nc
1/11/2019,,filled,ST.nc
2/11/2019,2.64249897,filled,ST.nc
3/11/2019,,filled,ST.nc
4/11/2019,1.876660228,filled,ST.nc
5/11/2019,1.476839066,filled,ST.nc
6/11/2019,1.808442235,filled,ST.nc
7/11/2019,1.985538483,filled,ST.nc
8/11/2019,2.54532218,filled,ST.nc
9/11/2019,2.595087767,filled,ST.nc
10/11/2019,,filled,ST.nc
11/11/2019,2.82162571,filled,ST.nc
12/11/2019,2.783186674,filled,ST.nc
13/11/2019,2.051073074,filled,ST.nc
14/11/2019,,filled,ST.nc
15/11/2019,1.809418201,filled,ST.nc
16/11/2019,2.003757954,filled,ST.nc
17/11/2019,3.922997236,filled,ST.nc
18/11/2019,2.133447886,filled,ST.nc
19/11/2019,,filled,ST.nc
20/11/2019,1.247129798,filled,ST.nc
21/11/2019,1.129098415,filled,ST.nc
22/11/2019,1.218001366,filled,ST.nc
23/11/2019,1.425676465,filled,ST.nc
24/11/2019,1.508613467,filled,ST.nc
25/11/2019,1.54131496,filled,ST.nc
26/11/2019,2.966235161,filled,ST.nc
27/11/2019,1.519007325,filled,ST.nc
28/11/2019,1.553956032,filled,ST.nc
29/11/2019,1.661275864,filled,ST.nc
30/11/2019,2.006393909,filled,ST.nc
1/12/2019,2.043489218,filled,ST.nc
2/12/2019,1.78068459,filled,ST.nc
3/12/2019,,filled,ST.nc
4/12/2019,3.343235016,filled,ST.nc
5/12/2019,1.760081887,filled,ST.nc
6/12/2019,,filled,ST.nc
7/12/2019,3.785935879,filled,ST.nc
8/12/2019,2.168832302,filled,ST.nc
9/12/2019,1.812065721,filled,ST.nc
10/12/2019,1.886082292,filled,ST.nc
